ticker,close_price,st73_value,st72_value,DMA_200,DMA_10,datee
ABSLAMC,763.2,822.8,802.0,738.11,786.06,20251109
BAYERCROP,4591.9,5042.4,4917.1,5224.8,4871.2,20251109
KEC,759.35,820.8,804.6,813.29,811.82,20251109
WOCKPHARMA,1337.7,1225.5,1278.8,1462.31,1330.59,20251109
ERIS,1594.2,1691.3,1650.6,1537.95,1605.79,20251109
ONESOURCE,1777.6,1900.9,1770.0,nan,1831.49,20251109
OLAELEC,46.55,52.1,50.2,52.52,50.14,20251109
CHALET,915.85,1001.8,973.3,879.62,944.85,20251109
ABREL,1769.3,1677.8,1740.9,1976.73,1820.52,20251109
SCHNEIDER,861.95,895.1,829.0,758.25,860.21,20251109
POLYMED,1893.8,1820.6,1874.0,2167.57,1933.24,20251109
JYOTICNC,886.15,853.8,882.6,1026.8,891.76,20251109
RBLBANK,328.25,305.9,313.4,225.96,325.24,20251109
KANSAINER,246.32,240.3,245.9,243.5,250.0,20251109
SUNDRMFAST,940.15,1020.8,993.5,977.44,956.88,20251109
DEVYANI,147.97,166.1,161.1,168.83,160.76,20251109
DCMSHRIRAM,1243.9,1216.0,1310.9,1159.97,1272.12,20251109
CGCL,196.49,191.0,208.0,176.17,202.07,20251109
CAMS,3795.3,3985.5,3935.7,3810.12,3868.72,20251109
CASTROLIND,191.1,199.9,196.6,203.3,195.58,20251109
SAILIFE,875.45,867.3,942.6,779.93,909.86,20251109
CHAMBLFERT,479.85,506.9,498.0,556.29,485.1,20251109
BASF,4448.6,4657.0,4581.7,4665.03,4434.84,20251109
FIVESTAR,646.1,572.1,597.8,663.83,619.5,20251109
KAJARIACER,1125.0,1238.1,1204.8,1046.57,1190.04,20251109
RPOWER,39.19,46.9,44.6,47.22,43.32,20251109
KFINTECH,1111.0,1158.2,1128.6,1102.01,1109.78,20251109
GMDCLTD,600.3,536.0,557.7,390.74,588.08,20251109
EIDPARRY,1024.6,1001.6,1076.4,960.59,1058.77,20251109
CUB,255.42,230.7,240.0,192.15,243.5,20251109
JSWHL,17042.0,17888.7,16214.2,20042.44,16833.6,20251109
SARDAEN,534.85,575.4,522.2,494.34,539.33,20251109
DEEPAKFERT,1426.4,1415.7,1514.2,1363.23,1481.06,20251109
GRINDWELL,1602.0,1537.3,1736.4,1658.38,1621.46,20251109
JSWCEMENT,127.67,135.3,132.5,nan,134.27,20251109
ABDL,642.9,600.2,626.9,432.53,643.31,20251109
ARE&M,980.1,974.7,1018.3,998.24,1000.68,20251109
BIKAJI,717.45,752.2,740.7,720.08,729.5,20251109
GPIL,274.65,256.4,264.0,203.88,276.81,20251109
GABRIEL,1243.4,1164.2,1217.3,825.5,1263.23,20251109
CROMPTON,277.15,292.0,286.1,329.35,284.9,20251109
SOBHA,1701.2,1503.3,1549.0,1411.99,1603.53,20251109
ZENSARTECH,697.65,765.3,741.9,780.3,764.05,20251109
APLLTD,921.95,889.2,913.0,920.61,920.16,20251109
CPPLUS,1534.9,1282.0,1343.8,nan,1371.98,20251109
JUBLPHARMA,1127.2,1075.9,1111.0,1041.2,1142.27,20251109
WHIRLPOOL,1340.0,1263.0,1313.3,1243.15,1381.71,20251109
NAVA,573.1,634.0,616.4,539.32,608.62,20251109
GSPL,299.5,294.2,313.6,311.12,309.27,20251109
CARBORUNIV,916.2,958.9,935.8,971.51,908.07,20251109
MAHSCOOTER,14490.0,16034.5,15543.9,13238.98,15534.5,20251109
TRAVELFOOD,1290.0,1240.3,1288.4,nan,1311.19,20251109
VENTIVE,720.7,696.3,720.2,729.23,737.93,20251109
CHOICEIN,802.3,785.2,829.9,670.55,814.47,20251109
VINATIORGA,1643.5,1634.4,1715.6,1720.91,1675.16,20251109
ACMESOLAR,265.1,290.6,282.3,246.78,277.61,20251109
TBOTEK,1600.0,1466.7,1434.7,1388.49,1559.02,20251109
RATNAMANI,2409.5,2266.1,2378.3,2612.4,2453.13,20251109
TRITURBINE,515.85,546.3,542.7,560.59,529.74,20251109
ATUL,5691.0,6087.3,5974.3,6374.94,5841.1,20251109
LMW,15718.0,14912.9,15227.9,15619.44,15768.4,20251109
FIRSTCRY,337.2,366.0,357.0,376.29,349.79,20251109
CENTURYPLY,748.35,791.2,776.3,752.15,753.26,20251109
BEML,2006.7,2188.1,2118.0,1879.72,2142.75,20251109
AFCONS,442.05,430.5,456.6,440.38,446.48,20251109
CIEINDIA,432.1,446.5,416.5,421.12,434.11,20251109
CEATLTD,4026.0,3798.1,4263.7,3302.4,4031.55,20251109
ABLBL,130.45,141.8,138.1,nan,135.11,20251109
PGEL,528.3,579.4,562.6,732.87,564.84,20251109
CRAFTSMAN,6770.5,6378.3,6495.8,5607.24,6641.6,20251109
AGARWALEYE,503.75,487.4,543.4,nan,513.41,20251109
UTIAMC,1209.0,1297.2,1263.9,1175.86,1246.61,20251109
RRKABEL,1376.9,1272.4,1326.6,1207.89,1377.6,20251109
IRCON,163.6,172.3,168.8,175.0,168.56,20251109
APTUS,292.4,321.7,311.5,317.1,305.64,20251109
VGUARD,360.95,357.9,383.4,366.43,371.44,20251109
MANYAVAR,639.5,687.3,671.5,783.68,662.58,20251109
JBMA,634.1,683.9,667.4,654.19,656.6,20251109
ELGIEQUIP,479.15,462.2,475.8,497.75,491.95,20251109
GESHIP,1085.2,1005.0,1038.9,950.54,1069.18,20251109
JMFINANCIL,158.85,173.7,168.3,137.78,166.18,20251109
INTELLECT,1132.7,1053.7,1101.7,939.41,1113.71,20251109
SYRMA,799.5,747.5,762.2,610.24,795.82,20251109
IFCI,54.23,53.1,57.3,53.28,56.32,20251109
DOMS,2474.6,2446.5,2595.1,2555.56,2531.85,20251109
BLUEDART,6221.5,5764.8,6071.6,6192.12,6180.6,20251109
IGIL,360.1,317.1,330.4,376.97,343.9,20251109
CAPLIPOINT,1932.5,2123.7,2065.8,2042.33,2004.38,20251109
SAMMAANCAP,185.41,171.8,178.0,132.7,186.6,20251109
DATAPATTNS,2616.2,2559.2,2738.1,2411.76,2726.4,20251109
TECHNOE,1283.3,1375.1,1339.0,1274.34,1316.19,20251109
SIGNATURE,1058.2,1018.2,1046.3,1148.6,1088.49,20251109
ZYDUSWELL,450.35,499.7,481.3,394.77,476.3,20251109
CHENNPETRO,1016.3,844.0,894.5,659.19,919.79,20251109
CONCORDBIO,1394.9,1504.2,1470.8,1714.49,1442.58,20251109
KIRLOSBROS,1715.2,1942.6,1880.9,1876.97,1864.59,20251109
AKZOINDIA,3262.3,3403.2,3345.7,3321.43,3261.39,20251109
NUVOCO,381.5,418.8,405.6,373.57,409.12,20251109
INDIAMART,2447.5,2489.7,2375.0,2331.73,2467.05,20251109
CEMPRO,856.4,774.1,801.1,nan,839.6,20251109
SWANCORP,468.9,490.0,475.4,454.05,463.49,20251109
NATCOPHARM,802.5,847.9,832.0,897.67,820.7,20251109
TRIDENT,28.05,29.2,27.9,28.69,28.58,20251109
LTFOODS,404.3,391.3,427.8,412.56,415.55,20251109
THELEELA,436.6,408.2,456.6,nan,432.33,20251109
KIRLOSENG,964.35,931.9,959.7,835.4,998.39,20251109
CELLO,635.3,593.7,617.3,593.33,644.5,20251109
ACUTAAS,1765.0,1621.4,1694.9,nan,1742.93,20251109
TSFINV,589.95,681.9,653.2,nan,647.14,20251109
CARTRADE,2895.1,2599.7,2746.3,1935.76,2941.9,20251109
USHAMART,472.45,434.6,447.8,356.01,466.95,20251109
AARTIIND,391.8,395.5,378.8,417.68,384.81,20251109
PARADEEP,173.95,182.4,177.1,155.52,169.0,20251109
SPLPETRO,659.25,740.6,714.1,714.21,739.75,20251109
PFOCUS,172.96,190.0,165.4,133.01,178.79,20251109
NIVABUPA,76.03,79.7,77.7,80.73,75.2,20251109
RAINBOW,1373.5,1406.1,1324.1,1415.61,1374.51,20251109
BBTC,1901.5,1867.7,2014.6,1905.35,1984.48,20251109
BATAINDIA,1061.9,1116.1,1096.4,1210.37,1080.21,20251109
KSB,757.0,809.7,793.4,773.26,783.45,20251109
NEWGEN,947.95,885.4,925.8,1005.21,967.6,20251109
GRANULES,554.65,534.9,547.3,507.43,565.95,20251109
PCBL,347.75,376.3,368.0,384.51,360.55,20251109
JWL,312.8,330.2,324.4,353.36,321.96,20251109
CCL,1025.15,878.2,916.7,764.24,893.33,20251109
MINDACORP,579.2,539.9,556.8,527.29,573.52,20251109
FINEORG,4351.7,4589.0,4511.9,4525.17,4445.16,20251109
BELRISE,149.76,155.9,152.3,nan,148.54,20251109
