ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
ELECON,0,571.6,0,589.9,621.5,567.6
NSLNISP,0,41.6,0,43.0,46.92,39.25
CEATLTD,0,3191.8,0,3280.5,3396.2,3195.36
EMBDL,0,89.7,0,93.7,100.16,115.9
LEMONTREE,0,160.5,0,165.8,172.9,144.2
CYIENT,0,1174.2,0,1206.2,1242.2,1372.69
ACE,0,1054.8,0,1088.8,1150.0,1214.84
BLUEDART,0,5948.7,0,5620.7,5762.0,6390.72
NCC,0,221.1,0,217.0,216.99,225.15
JINDALSAW,0,212.7,0,199.3,212.48,241.11
CELLO,0,580.7,0,598.1,611.7,617.31
BBTC,0,1803.2,0,1856.5,1936.4,1944.2
OLECTRA,0,1511.0,0,1563.8,1640.1,1320.84
SUNDARMHLD,0,540.5,0,569.2,607.95,376.31
FINPIPE,0,202.5,0,208.0,216.92,203.98
TEGA,0,1887.2,0,1956.6,2015.1,1598.19
MGL,0,1273.4,0,1303.6,1344.7,1320.71
CEMPRO,0,681.1,0,717.3,772.3,nan
IEX,0,150.3,0,144.0,149.03,173.04
AAVAS,0,1556.6,0,1591.7,1670.6,1785.21
GRANULES,0,507.9,0,520.8,543.4,512.06
HOMEFIRST,0,1344.9,0,1304.1,1268.9,1152.96
RITES,0,253.3,0,260.5,272.47,253.45
USHAMART,0,376.0,0,391.0,426.55,341.97
MINDACORP,0,494.7,0,510.3,549.25,518.61
ALIVUS,1,908.1,1,943.0,1047.45,nan
TITAGARH,0,883.9,0,906.1,955.35,902.59
NEWGEN,0,841.0,0,865.8,915.5,1108.01
JPPOWER,0,17.5,0,18.3,18.68,17.0
GRINFRA,1,1229.7,0,1269.9,1323.5,1232.7
FINCABLES,0,869.3,0,823.9,830.85,941.55
RAILTEL,0,361.3,0,375.5,393.8,365.56
INGERRAND,0,3736.0,0,3809.5,3966.0,3783.31
CLEAN,0,1247.8,0,1218.2,1178.0,1309.76
INDIACEM,0,373.6,0,383.9,398.7,330.22
VTL,0,400.0,0,414.3,426.1,454.84
PRUDENT,0,2661.6,0,2775.1,2963.3,2555.05
ANURAS,0,1166.0,0,1138.6,1078.0,905.35
VIKRAMSOLR,0,316.0,0,369.5,337.7,nan
GRAVITA,0,1777.6,0,1732.9,1661.4,1870.09
CARTRADE,0,2760.4,0,2620.9,2540.6,1759.51
BANCOINDIA,0,680.1,0,726.7,835.6,493.76
ACUTAAS,0,1355.6,0,1397.9,1458.1,nan
SANOFICONR,0,4942.3,0,5058.5,5150.5,4938.67
WELSPUNLIV,0,114.3,0,119.2,124.41,134.31
JYOTHYLAB,0,337.2,0,332.6,322.5,352.43
CCL,0,846.5,0,877.5,886.05,741.78
BLUEJET,0,652.8,0,727.8,679.45,754.93
SBFC,0,113.6,0,111.3,107.44,98.4
