rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
141,AGIIL,ST73,102.28,10228.42,5,3,60.0,10000,20228.42
142,JUBLPHARMA,ST73,102.03,10202.7,6,4,66.7,10000,20202.7
143,ARVIND,ST73,101.39,10139.25,6,4,66.7,10000,20139.25
144,ADANIPOWER,ST73,100.83,10082.57,7,4,57.1,10000,20082.57
145,SWSOLAR,ST72,100.52,10051.62,13,6,46.2,10000,20051.62
146,SYRMA,ST72,100.16,10015.55,18,8,44.4,10000,20015.55
147,DIVISLAB,ST73,99.23,9922.78,7,5,71.4,10000,19922.78
148,KIMS,ST73,98.67,9866.64,5,4,80.0,10000,19866.64
149,GLENMARK,ST73,96.91,9690.95,10,4,40.0,10000,19690.95
150,MSTCLTD,ST72,96.33,9633.48,18,8,44.4,10000,19633.48
151,RRKABEL,ST73,95.5,9549.51,7,5,71.4,10000,19549.51
152,ETERNAL,ST72,95.34,9533.54,17,9,52.9,10000,19533.54
153,NAVA,ST72,95.33,9532.55,14,6,42.9,10000,19532.55
154,HINDALCO,ST72,94.97,9496.62,16,11,68.8,10000,19496.62
155,MBAPL,ST72,94.72,9471.51,13,6,46.2,10000,19471.51
156,HAL,ST72,94.44,9444.26,18,8,44.4,10000,19444.26
157,SUZLON,ST73,93.98,9398.29,9,5,55.6,10000,19398.29
158,ATHERENERG,ST73,93.74,9373.6,2,1,50.0,10000,19373.6
159,HMT,ST72,93.03,9302.74,16,8,50.0,10000,19302.74
160,IFBIND,ST72,92.78,9278.05,15,9,60.0,10000,19278.05
161,BRIGADE,ST72,92.5,9249.59,16,9,56.2,10000,19249.59
162,GLAND,ST72,92.2,9220.37,10,4,40.0,10000,19220.37
163,CUMMINSIND,ST72,89.73,8972.85,14,6,42.9,10000,18972.85
164,UNICHEMLAB,ST73,89.43,8942.6,5,2,40.0,10000,18942.6
165,HAPPYFORGE,ST73,89.43,8943.37,7,5,71.4,10000,18943.37
166,LTFOODS,ST72,89.29,8928.83,16,8,50.0,10000,18928.83
167,PRIVISCL,ST72,88.74,8874.48,13,9,69.2,10000,18874.48
168,AMBER,ST72,88.51,8850.6,18,11,61.1,10000,18850.6
169,GRANULES,ST73,87.95,8794.9,8,5,62.5,10000,18794.9
170,NYKAA,ST73,86.92,8692.16,7,4,57.1,10000,18692.16
171,MANYAVAR,ST72,86.77,8677.48,7,4,57.1,10000,18677.48
172,SOLARINDS,ST73,86.18,8617.54,7,4,57.1,10000,18617.54
173,PNBHOUSING,ST73,85.17,8516.96,6,5,83.3,10000,18516.96
174,RATEGAIN,ST73,84.35,8435.25,8,4,50.0,10000,18435.25
175,GANESHHOU,ST73,84.3,8429.89,7,4,57.1,10000,18429.89
176,ANTELOPUS,ST73,84.3,8430.4,8,5,62.5,10000,18430.4
177,ABSLAMC,ST73,83.97,8397.14,7,4,57.1,10000,18397.14
178,TIPSMUSIC,ST73,83.95,8395.04,6,4,66.7,10000,18395.04
179,DEEPINDS,ST73,83.19,8318.95,7,3,42.9,10000,18318.95
180,BDL,ST72,82.99,8298.92,19,8,42.1,10000,18298.92
181,ASHAPURMIN,ST72,82.96,8295.55,17,9,52.9,10000,18295.55
182,PRESTIGE,ST72,82.65,8264.87,16,8,50.0,10000,18264.87
183,IMFA,ST73,82.29,8228.79,8,4,50.0,10000,18228.79
184,RPTECH,ST72,82.01,8201.09,12,4,33.3,10000,18201.09
185,PTCIL,ST72,81.98,8198.45,13,7,53.8,10000,18198.45
186,GOLDIAM,ST73,81.62,8162.18,7,3,42.9,10000,18162.18
187,PGEL,ST73,81.57,8156.91,10,3,30.0,10000,18156.91
188,CYIENTDLM,ST73,80.74,8073.95,8,3,37.5,10000,18073.95
189,TARC,ST72,80.08,8007.88,14,6,42.9,10000,18007.88
190,HERITGFOOD,ST72,79.86,7986.29,15,7,46.7,10000,17986.29
191,ZYDUSWELL,ST72,78.9,7890.14,12,7,58.3,10000,17890.14
192,NAZARA,ST73,78.75,7874.82,5,3,60.0,10000,17874.82
193,CPPLUS,ST72,78.48,7848.39,6,1,16.7,10000,17848.39
194,MEDANTA,ST72,78.02,7802.1,15,7,46.7,10000,17802.1
195,ACMESOLAR,ST73,77.7,7769.85,4,2,50.0,10000,17769.85
196,AXISCADES,ST72,77.2,7720.4,19,9,47.4,10000,17720.4
197,GMRP&UI,ST73,77.18,7718.13,11,2,18.2,10000,17718.13
198,UNIPARTS,ST73,77.04,7703.6,7,3,42.9,10000,17703.6
199,DPABHUSHAN,ST73,76.99,7699.3,9,3,33.3,10000,17699.3
200,MTARTECH,ST72,76.67,7666.55,21,7,33.3,10000,17666.55
201,FILATEX,ST73,76.43,7643.42,9,5,55.6,10000,17643.42
202,UTLSOLAR,ST73,76.41,7641.36,2,2,100.0,10000,17641.36
203,SENORES,ST73,75.29,7529.45,4,2,50.0,10000,17529.45
204,KALYANKJIL,ST72,74.36,7436.49,17,7,41.2,10000,17436.49
205,SUDEEPPHRM,ST72,74.36,7436.31,4,2,50.0,10000,17436.31
206,BHEL,ST73,73.64,7364.23,11,5,45.5,10000,17364.23
207,ETHOSLTD,ST72,73.03,7302.57,15,7,46.7,10000,17302.57
208,EPIGRAL,ST72,72.56,7256.0,13,8,61.5,10000,17256.0
209,PERSISTENT,ST72,72.25,7224.51,18,9,50.0,10000,17224.51
210,PFOCUS,ST73,72.2,7220.11,9,6,66.7,10000,17220.11
211,LLOYDSME,ST73,71.65,7164.93,9,5,55.6,10000,17164.93
212,ANGELONE,ST72,71.47,7146.94,20,7,35.0,10000,17146.94
213,GODREJIND,ST72,71.37,7137.25,16,10,62.5,10000,17137.25
214,INDUSTOWER,ST73,71.21,7120.76,7,4,57.1,10000,17120.76
215,ABCAPITAL,ST73,70.9,7089.76,8,4,50.0,10000,17089.76
216,TITAGARH,ST72,70.6,7060.35,16,9,56.2,10000,17060.35
217,BEL,ST72,70.1,7009.82,20,12,60.0,10000,17009.82
218,VINDHYATEL,ST72,69.95,6994.98,15,6,40.0,10000,16994.98
219,TCPLPACK,ST72,69.71,6971.48,12,5,41.7,10000,16971.48
220,NEULANDLAB,ST72,69.7,6969.73,11,4,36.4,10000,16969.73
221,BALRAMCHIN,ST73,69.32,6931.95,7,3,42.9,10000,16931.95
222,EIDPARRY,ST73,68.98,6897.6,7,4,57.1,10000,16897.6
223,WELENT,ST73,68.62,6861.55,10,4,40.0,10000,16861.55
224,SHRIRAMFIN,ST73,68.45,6845.31,11,6,54.5,10000,16845.31
225,ASKAUTOLTD,ST73,68.28,6828.38,7,3,42.9,10000,16828.38
226,AEQUS,ST73,67.76,6776.49,1,1,100.0,10000,16776.49
