rank,ticker,st_config,capital_used,total_pnl,pct_return,total_trades,winning_trades,win_pct,final_capital
291,GENUSPOWER,ST73,10000,5257.66,52.58,9,6,66.7,15257.66
292,FOSECOIND,ST73,10000,5245.31,52.45,7,3,42.9,15245.31
293,RML,ST72,10000,5227.43,52.27,15,6,40.0,15227.43
294,LUPIN,ST73,10000,5162.77,51.63,7,4,57.1,15162.77
295,COHANCE,ST73,10000,5130.6,51.31,5,2,40.0,15130.6
296,AMAGI,ST73,10000,5080.05,50.8,1,1,100.0,15080.05
297,APOLLO,ST73,10000,5064.96,50.65,10,4,40.0,15064.96
298,KRN,ST73,10000,5045.95,50.46,5,2,40.0,15045.95
299,ANUP,ST72,10000,5041.22,50.41,15,6,40.0,15041.22
300,ZYDUSLIFE,ST73,10000,5020.78,50.21,8,4,50.0,15020.78
301,THERMAX,ST73,10000,5017.64,50.18,8,2,25.0,15017.64
302,MAHSCOOTER,ST73,10000,5003.74,50.04,7,3,42.9,15003.74
303,EMUDHRA,ST73,10000,4979.03,49.79,6,3,50.0,14979.03
304,OIL,ST72,10000,4931.27,49.31,18,7,38.9,14931.27
305,AZAD,ST72,10000,4929.9,49.3,16,6,37.5,14929.9
306,SANGHVIMOV,ST73,10000,4910.3,49.1,8,3,37.5,14910.3
307,PRICOLLTD,ST73,10000,4886.88,48.87,8,4,50.0,14886.88
308,TVSHLTD,ST72,10000,4876.03,48.76,15,6,40.0,14876.03
309,HYUNDAI,ST73,10000,4833.76,48.34,3,2,66.7,14833.76
310,HEROMOTOCO,ST72,10000,4817.39,48.17,18,8,44.4,14817.39
311,JKTYRE,ST72,10000,4815.37,48.15,17,5,29.4,14815.37
312,FIEMIND,ST73,10000,4807.1,48.07,9,5,55.6,14807.1
313,TIIL,ST72,10000,4775.07,47.75,17,8,47.1,14775.07
314,ADANIPORTS,ST73,10000,4771.99,47.72,9,4,44.4,14771.99
315,SPARC,ST72,10000,4771.31,47.71,15,6,40.0,14771.31
316,BHARATFORG,ST72,10000,4757.43,47.57,16,10,62.5,14757.43
317,PURVA,ST72,10000,4737.35,47.37,21,6,28.6,14737.35
318,JUBLINGREA,ST72,10000,4720.0,47.2,14,7,50.0,14720.0
