rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
179,AMBER,ST72,85.19,8518.6,18,10,55.6,10000,18518.6
180,RATEGAIN,ST73,84.35,8435.25,8,4,50.0,10000,18435.25
181,GANESHHOU,ST73,84.19,8419.09,7,4,57.1,10000,18419.09
182,TARC,ST72,84.01,8401.27,14,7,50.0,10000,18401.27
183,ABSLAMC,ST73,83.97,8397.14,8,4,50.0,10000,18397.14
184,TIPSMUSIC,ST73,83.95,8395.05,6,4,66.7,10000,18395.05
185,BRIGADE,ST72,83.53,8353.19,16,9,56.2,10000,18353.19
186,BDL,ST72,82.99,8298.92,19,8,42.1,10000,18298.92
187,ASHAPURMIN,ST72,82.96,8295.55,17,9,52.9,10000,18295.55
188,MANYAVAR,ST72,82.79,8279.13,7,4,57.1,10000,18279.13
189,PRESTIGE,ST72,82.65,8264.88,16,8,50.0,10000,18264.88
190,SENORES,ST73,82.52,8251.85,4,2,50.0,10000,18251.85
191,IMFA,ST73,82.29,8228.8,8,4,50.0,10000,18228.8
192,GRAPHITE,ST73,82.07,8207.24,8,5,62.5,10000,18207.24
193,RPTECH,ST72,82.01,8201.09,12,4,33.3,10000,18201.09
194,PTCIL,ST72,81.98,8198.45,13,7,53.8,10000,18198.45
195,PGEL,ST73,81.57,8156.91,10,3,30.0,10000,18156.91
196,PNBHOUSING,ST73,81.57,8156.96,6,5,83.3,10000,18156.96
197,NAZARA,ST73,81.51,8150.82,5,3,60.0,10000,18150.82
198,UNIPARTS,ST73,81.04,8103.6,7,3,42.9,10000,18103.6
199,VINDHYATEL,ST72,80.97,8097.19,15,6,40.0,10000,18097.19
200,CPPLUS,ST72,80.14,8014.39,6,2,33.3,10000,18014.39
201,NRBBEARING,ST73,79.7,7970.07,7,2,28.6,10000,17970.07
202,MEDANTA,ST72,79.29,7929.3,15,7,46.7,10000,17929.3
203,HERITGFOOD,ST72,78.81,7880.54,15,7,46.7,10000,17880.54
204,NOVARTIND,ST72,78.8,7879.7,3,2,66.7,10000,17879.7
205,PFOCUS,ST73,77.41,7740.91,9,6,66.7,10000,17740.91
206,GMRP&UI,ST73,77.18,7718.13,11,2,18.2,10000,17718.13
207,MRPL,ST72,76.49,7649.15,16,6,37.5,10000,17649.15
208,SAILIFE,ST73,75.62,7562.5,3,2,66.7,10000,17562.5
209,DPABHUSHAN,ST73,75.01,7501.3,9,3,33.3,10000,17501.3
210,BEPL,ST73,74.99,7499.34,7,3,42.9,10000,17499.34
211,BHEL,ST73,74.68,7468.24,11,5,45.5,10000,17468.24
212,KALYANKJIL,ST72,74.36,7436.49,17,7,41.2,10000,17436.49
213,INOXWIND,ST72,73.58,7357.71,20,6,30.0,10000,17357.71
214,GOLDIAM,ST73,73.56,7356.18,7,3,42.9,10000,17356.18
215,SPLPETRO,ST72,73.23,7323.19,16,8,50.0,10000,17323.19
216,PCBL,ST72,73.21,7321.25,18,11,61.1,10000,17321.25
217,MTARTECH,ST72,71.97,7197.3,20,6,30.0,10000,17197.3
218,LLOYDSME,ST73,71.65,7164.93,9,5,55.6,10000,17164.93
219,BALRAMCHIN,ST73,71.59,7158.75,7,3,42.9,10000,17158.75
